action_id,action_name,case_type,action_owner,action_date,action_status,description
ACT-001,Telus Order Fix,WiFi,Connectivity,2026-06-10,Complete,Telus ordering defect fixed 6/10
ACT-002,AT&T / Jasper Toggle Containment,WiFi,Connectivity,2026-04-15,In Progress,Containment for AT&T / Jasper toggle entitlement issues
ACT-003,Canadian Plan Issue Remediation,WiFi,Connectivity,2026-05-01,In Progress,Canadian plan mismatch target in progress
ACT-004,Entitlement Issue Containment,WiFi,Connectivity,2026-03-20,In Progress,Entitlement containment in progress
ACT-005,Telus Gen 11 Containment,OnBoarding,Connectivity,2026-05-20,Complete,Telus Gen 11 containment complete
ACT-006,AT&T Connectivity Improvement,OnBoarding,Connectivity,2026-04-01,Complete,AT&T IMS improvement complete
ACT-007,Gen 12 Software Update,OnBoarding,Connectivity,2026-06-25,In Progress,Software update for Gen 12 in progress
ACT-008,Tech Line Connect Modernization,OnBoarding,Support Ops,2026-10-01,Planned,Tech Line Connect modernization scheduled October
ACT-009,Profile Swap Country Code Fix,OnBoarding,Software,2026-05-10,In Progress,Profile swap country code defects target in progress
ACT-010,Google Assistant Nav Commands Fix,Infotainment,Software,2026-06-05,Complete,Google Assistant navigation commands resolved June
ACT-011,Vehicle App Integration,Infotainment,Software,2026-06-15,In Progress,Vehicle app integration workstream
