response_id,individual_id,vin,survey_type,survey_date,nps_score,nps_category,csat_score,verbatim_text,dealer_id,region,region_scope
RSPGL700000,IND100089,1GC550940297592,Sales,2026-03-17,8,Passive,5,Vehicle is fine. Setup took longer than expected but got there.,DLR1069,Southwest,GLOBAL
RSPGL700001,IND100019,1GC668497959209,Service,2026-06-25,6,Detractor,3,Had to replace the connectivity module twice. Nobody explained why.,DLR1105,Southwest,GLOBAL
RSPGL700002,IND100003,1GC598632529184,Sales,2026-06-17,4,Detractor,4,Wifi drops constantly on the highway. Third call to support this month.,DLR1150,Southwest,GLOBAL
RSPGL700003,IND100137,1GC534073093248,Service,2026-01-28,3,Detractor,2,Screen freezes when I use CarPlay. Dealer says it is a known issue.,DLR1180,West,GLOBAL
RSPGL700004,IND100019,1GC668497959209,Sales,2026-01-13,9,Promoter,4,Truck has been flawless. The app connects instantly every time.,DLR1052,Southwest,GLOBAL
RSPGL700005,IND100136,1GC962703291916,Sales,2026-06-10,10,Promoter,3,Service advisor called me proactively about the software update. Impressed.,DLR1143,Southeast,GLOBAL
RSPGL700006,IND100084,1GC120440865820,Dealership,2026-02-28,9,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1011,Northeast,GLOBAL
RSPGL700007,IND100105,1GC745201170242,Sales,2026-03-16,9,Promoter,4,Service advisor called me proactively about the software update. Impressed.,DLR1087,Southeast,GLOBAL
RSPGL700008,IND100068,1GC127736051111,Service,2026-06-29,5,Detractor,3,Wifi drops constantly on the highway. Third call to support this month.,DLR1138,Midwest,GLOBAL
RSPGL700009,IND100097,1GC178884927384,Dealership,2026-05-31,8,Passive,4,Service was completed on time. Nothing exceptional either way.,DLR1114,Southeast,GLOBAL
RSPGL700010,IND100086,1GC750123415536,Dealership,2026-03-14,8,Passive,5,No complaints about the truck. The app is average.,DLR1069,Southwest,GLOBAL
RSPGL700011,IND100118,1GC488883735797,Sales,2026-02-04,9,Promoter,3,Dealer walked me through every feature before I drove off. Excellent onboarding.,DLR1128,Northeast,GLOBAL
RSPGL700012,IND100143,1GC614555247137,Sales,2026-04-23,8,Passive,3,No complaints about the truck. The app is average.,DLR1155,Southeast,GLOBAL
RSPGL700013,IND100018,1GC844868054792,Dealership,2026-06-01,6,Detractor,2,Waited three weeks for a part. Zero communication from the dealer.,DLR1105,West,GLOBAL
RSPGL700014,IND100099,1GC965707898093,Service,2026-05-03,3,Detractor,5,Screen freezes when I use CarPlay. Dealer says it is a known issue.,DLR1036,Northeast,GLOBAL
